dimensiones,precio,tipo,disponibilidad,desarrollo,etapa,calle,observaciones
450.00,492750.00,Comercial,Disponible,Bonaterra,1,Calle Colibri,
300.00,328500.00,Comercial,Disponible,Bonaterra,1,Calle Colibri,
300.00,328500.00,Comercial,Disponible,Bonaterra,1,Calle Colibri,
300.00,328500.00,Comercial,Disponible,Bonaterra,1,Calle Colibri,
300.00,328500.00,Comercial,Disponible,Bonaterra,1,Calle Colibri,
300.00,510000.00,Comercial,Disponible,Bonaterra,1,Calle Colibri,
300.00,510000.00,Comercial,Disponible,Bonaterra,1,Calle Colibri,
300.00,510000.00,Comercial,Disponible,Bonaterra,1,Calle Colibri,
300.00,510000.00,Comercial,Disponible,Bonaterra,1,Calle Colibri,
300.00,510000.00,Comercial,Disponible,Bonaterra,1,Calle Colibri,
300.00,510000.00,Comercial,Disponible,Bonaterra,1,Calle Colibri,
300.00,510000.00,Comercial,Disponible,Bonaterra,1,Calle Colibri,
300.00,510000.00,Comercial,Disponible,Bonaterra,1,Calle Colibri,
300.00,510000.00,Comercial,Disponible,Bonaterra,1,Calle Colibri,
300.00,510000.00,Comercial,Disponible,Bonaterra,1,Calle Colibri,
300.00,510000.00,Comercial,Disponible,Bonaterra,1,Calle Colibri,
300.00,510000.00,Comercial,Disponible,Bonaterra,1,Calle Colibri,
300.00,510000.00,Comercial,Disponible,Bonaterra,1,Calle Colibri,
300.00,328500.00,Comercial,Disponible,Bonaterra,1,Calle Colibri,
300.00,328500.00,Comercial,Disponible,Bonaterra,1,Calle Colibri,
300.00,328500.00,Comercial,Disponible,Bonaterra,1,Calle Colibri,
300.00,510000.00,Comercial,Disponible,Bonaterra,1,Calle Colibri,
300.00,510000.00,Comercial,Disponible,Bonaterra,1,Calle Colibri,
300.00,328500.00,Comercial,Disponible,Bonaterra,1,Calle Colibri,
300.00,510000.00,Comercial,Disponible,Bonaterra,1,Calle Colibri,
300.00,510000.00,Comercial,Disponible,Bonaterra,1,Calle Colibri,
300.00,510000.00,Comercial,Disponible,Bonaterra,1,Calle Colibri,
300.00,510000.00,Comercial,Disponible,Bonaterra,1,Calle Colibri,
300.00,510000.00,Comercial,Disponible,Bonaterra,1,Calle Colibri,
300.00,510000.00,Comercial,Disponible,Bonaterra,1,Calle Colibri,
300.00,510000.00,Comercial,Disponible,Bonaterra,1,Calle Colibri,
300.00,328500.00,Comercial,Disponible,Bonaterra,1,Calle Colibri,
300.00,510000.00,Comercial,Disponible,Bonaterra,1,Calle Colibri,
300.00,510000.00,Comercial,Disponible,Bonaterra,1,Calle Colibri,
300.00,510000.00,Comercial,Disponible,Bonaterra,1,Calle Colibri,
300.00,510000.00,Comercial,Disponible,Bonaterra,1,Calle Colibri,
300.00,510000.00,Comercial,Disponible,Bonaterra,1,Calle Colibri,
300.00,510000.00,Comercial,Disponible,Bonaterra,1,Calle Colibri,
300.00,510000.00,Comercial,Disponible,Bonaterra,1,Calle Colibri,
300.00,600000.00,Comercial,Disponible,Bonaterra,1,Calle Colibri,
160.00,175200.00,Regular,Disponible,Bonaterra,1,Calle Colibri,
